job_title,company_name,company_location,work_method,post_date,work_time
Datenanalyst:in,Stellenwert GmbH & Co. KG,"Oldenburg, Lower Saxony, Germany",On-site,2 hours ago,Full-time
Junior Data Analyst (w/m/d),GLS,"Eschborn, Hesse, Germany",Hybrid,2 weeks ago,Full-time
Junior Data Analyst (w/m/d),Experian,"Wiesbaden, Hesse, Germany",Hybrid,Reposted 2 weeks ago,Full-time
Junior Data Analyst,Experian,"Baden-Baden, Baden-Württemberg, Germany",Hybrid,Reposted 2 weeks ago,Full-time
Steinbeis Student - Junior Marketing Data Analyst (f/m/x),ZEISS Group,"Munich, Bavaria, Germany",Hybrid,1 week ago,Full-time
Einkäufer (m/w/d) Tiefbau,Unternehmensgruppe Maas,"Moers, North Rhine-Westphalia, Germany",On-site,2 hours ago,Full-time
Junior Data Analyst (m/w/d),Maniko Nails,Germany,Remote,2 months ago,Full-time
Senior Real Time Analyst (traffic) (m/f/d),TELUS International Europe,"North Rhine-Westphalia, Germany",On-site,1 hour ago,Full-time
"Senior Manager AI & Data, Finanzindustrie",Publicis Sapient,"Düsseldorf, North Rhine-Westphalia, Germany",On-site,1 hour ago,Internship
Junior Data Analyst,CWS Hygiene Deutschland,"Duisburg, North Rhine-Westphalia, Germany",Full-time,1 month ago,Full-time
AI & Data Scientist Study & Internship,Refonte Learning,Germany,Remote,31 minutes ago,Full-time
Consultant Audit & Assurance - Data Analytics (m/w/d) in Düsseldorf,Deloitte,"Düsseldorf, North Rhine-Westphalia, Germany",Full-time,Reposted 4 days ago,Full-time
Junior Data Analyst (m/w/d),DEUFOL,"Neutraubling, Bavaria, Germany",On-site,1 month ago,Full-time
(Junior) Data Analyst (DACH) [m/w/d],Forever Living Products Germany Austria Switzerland,"Munich, Bavaria, Germany",Hybrid,1 week ago,Full-time
Sationsassistenz - Wahlleistungsstation (m/w/d),Helios Kliniken GmbH,"Aue, Saxony, Germany",On-site,5 hours ago,Full-time
Analytics Engineer: ZMS Central Analytics Engineering,Zalando,"Berlin, Berlin, Germany",Hybrid,25 minutes ago,Full-time
(Junior) Data Analyst (m/w/d),MEGABAD GmbH,"Kerpen, North Rhine-Westphalia, Germany",On-site,Reposted 1 week ago,Full-time
Data Scientist/Analyst prüfungsnahe Beratung/Quants - Assurance (Financial Services) (w/m/d),EY,"Eschborn, Hesse, Germany",On-site,Reposted 1 day ago,Full-time
Business Intelligence Engineer - International Sales Solutions (m/w/d),ALDI Nord Group,"Essen, North Rhine-Westphalia, Germany",Hybrid,2 hours ago,Full-time
Junior Data Analyst - Schwerpunkt Account Management (m/w/x),Amadeus Fire,"Hamburg, Hamburg, Germany",On-site,1 hour ago,Full-time
Business Analyst Output Management/Template Designer (m/w/d),Swiss Life Deutschland,"Hannover, Lower Saxony, Germany",Hybrid,3 weeks ago,Full-time
(Junior) Data Analyst (m/w/d),StoryMachine GmbH,"Berlin, Berlin, Germany",On-site,2 weeks ago,Full-time
(Junior) Data Analyst (m/w/d),ib vogt GmbH,"Berlin, Berlin, Germany",On-site,22 hours ago,Part-time
(Junior) Data Analyst (m/w/d),StoryMachine GmbH,"Berlin, Berlin, Germany",On-site,2 weeks ago,Full-time
Junior Data Analyst,CBTW,"Frankfurt, Hesse, Germany",Hybrid,1 hour ago,Full-time
(Junior) HR Data Analyst (m/w/d),One Data,"Passau, Bavaria, Germany",On-site,2 hours ago,Full-time
(Junior) Data Analyst (m/w/d),Convolut,"Munich, Bavaria, Germany",On-site,2 months ago,Full-time
Data Analyst (m/w/d),Peroptyx,"Berlin, Germany",Remote,3 hours ago,Full-time
Junior Data & Analytics Consultant (f/m/d),POLO Motorrad und Sportswear GmbH,"Jüchen, North Rhine-Westphalia, Germany",On-site,1 week ago,Full-time
Junior Business & Data Analyst (all genders),CFGI Germany,Germany,Remote,5 hours ago,Full-time
Data Analyst (0 Experience Required),SAPHIR Deutschland GmbH,"Oberkochen, Baden-Württemberg, Germany",On-site,3 months ago,Full-time
Junior Data Analyst - Marketing (m/w/d),Peroptyx,"Munich, Bavaria, Germany",Remote,3 hours ago,Full-time
